epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,0.021791016682982445,0.1336197853088379,,,,,,,,,
0,,19,,,,,,,,,,,0.011137929745018482,0.08663912117481232,,,,,,,,,
0,,20,,,,,,,,,,,,,0.11404816806316376,0.2873665392398834,1.3244251012802124,0.8290653824806213,0.8539479374885559,2.648850202560425,-0.4749833941459656,0.3377101719379425,0.38550955057144165
0,,20,,,,,,,,,,0.025529848411679268,,,,,,,,,,,
,0.0007996491320395434,21,,,,,,,,,,,,,,,,,,,,,
1,,29,,,,,,,,,,,0.009843346662819386,0.07734903693199158,,,,,,,,,
1,,39,,,,,,,,,,,0.009908080101013184,0.08261842280626297,,,,,,,,,
1,,41,,,,,,,,,,,,,0.050199784338474274,0.18015249073505402,0.769436240196228,0.8995389938354492,0.9302191138267517,1.538872480392456,0.3507668375968933,0.22405309975147247,0.24904435873031616
1,,41,,,,,,,,,,0.010219966992735863,,,,,,,,,,,
,0.0007985971436998018,42,,,,,,,,,,,,,,,,,,,,,
2,,49,,,,,,,,,,,0.008574050851166248,0.07159304618835449,,,,,,,,,
2,,59,,,,,,,,,,,0.006920683663338423,0.05774831771850586,,,,,,,,,
2,,62,,,,,,,,,,,,,0.15980808436870575,0.33474549651145935,1.6779656410217285,0.8091195225715637,0.8072746396064758,3.355931282043457,-1.0667955875396729,0.39976000785827637,0.3944493234157562
2,,62,,,,,,,,,,0.007620078511536121,,,,,,,,,,,
,0.0007968458805257913,63,,,,,,,,,,,,,,,,,,,,,
3,,69,,,,,,,,,,,0.007104252930730581,0.05695418640971184,,,,,,,,,
3,,79,,,,,,,,,,,0.008745483122766018,0.06801184266805649,,,,,,,,,
3,,83,,,,,,,,,,,,,0.0523248091340065,0.19957774877548218,0.8551329970359802,0.9016658663749695,0.9167688488960266,1.7102659940719604,0.32328394055366516,0.2287461757659912,0.2390107363462448
3,,83,,,,,,,,,,0.007703004404902458,,,,,,,,,,,
,0.000794398414828202,84,,,,,,,,,,,,,,,,,,,,,
4,,89,,,,,,,,,,,0.0068046399392187595,0.05240039899945259,,,,,,,,,
4,,99,,,,,,,,,,,0.00649405550211668,0.04996251314878464,,,,,,,,,
4,,104,,,,,,,,,,,,,0.06291402131319046,0.21419847011566162,0.9224492311477661,0.9041764736175537,0.9063149094581604,1.8448984622955322,0.18633387982845306,0.2508266568183899,0.236246258020401
4,,104,,,,,,,,,,0.00732034258544445,,,,,,,,,,,
,0.0007912590402935223,105,,,,,,,,,,,,,,,,,,,,,
5,,109,,,,,,,,,,,0.006597820203751326,0.055297207087278366,,,,,,,,,
5,,119,,,,,,,,,,,0.0067712366580963135,0.05395149067044258,,,,,,,,,
5,,125,,,,,,,,,,,,,0.12483057379722595,0.28583645820617676,1.4292492866516113,0.823171854019165,0.8233619332313538,2.8584985733032227,-0.6144320368766785,0.35331371426582336,0.3531210720539093
5,,125,,,,,,,,,,0.007069339044392109,,,,,,,,,,,
,0.0007874332644514524,126,,,,,,,,,,,,,,,,,,,,,
6,,129,,,,,,,,,,,0.007039668038487434,0.057056888937950134,,,,,,,,,
6,,139,,,,,,,,,,,0.006471587810665369,0.05456487089395523,,,,,,,,,
6,,146,,,,,,,,,,,,,0.09601327031850815,0.24432364106178284,1.2134788036346436,0.832855761051178,0.8392903804779053,2.426957607269287,-0.24173831939697266,0.30986008048057556,0.3262791633605957
6,,146,,,,,,,,,,0.0065204426646232605,,,,,,,,,,,
,0.0007829277990128269,147,,,,,,,,,,,,,,,,,,,,,
7,,149,,,,,,,,,,,0.005782498978078365,0.048626434057950974,,,,,,,,,
7,,159,,,,,,,,,,,0.0058134738355875015,0.04555294290184975,,,,,,,,,
7,,167,,,,,,,,,,,,,0.0531897097826004,0.179891899228096,0.795952320098877,0.8867971301078796,0.9165553450584412,1.591904640197754,0.3120981752872467,0.23062895238399506,0.2604721486568451
7,,167,,,,,,,,,,0.00611453503370285,,,,,,,,,,,
,0.0007777505480949926,168,,,,,,,,,,,,,,,,,,,,,
8,,169,,,,,,,,,,,0.006138307508081198,0.04560120403766632,,,,,,,,,
8,,179,,,,,,,,,,,0.005505473352968693,0.04203652963042259,,,,,,,,,
8,,188,,,,,,,,,,,,,0.040416937321424484,0.15832345187664032,0.7575728297233582,0.8764888048171997,0.8880040049552917,1.5151456594467163,0.47728830575942993,0.2010396420955658,0.2233852595090866
8,,188,,,,,,,,,,0.0061889225617051125,,,,,,,,,,,
,0.0007719105943553007,189,,,,,,,,,,,,,,,,,,,,,
9,,189,,,,,,,,,,,0.00597860012203455,0.048129934817552567,,,,,,,,,
9,,199,,,,,,,,,,,0.0052399723790585995,0.04029440879821777,,,,,,,,,
9,,209,,,,,,,,,,,0.006214895285665989,0.04337509721517563,,,,,,,,,
9,,209,,,,,,,,,,,,,0.05665566027164459,0.1865004450082779,0.8946614265441895,0.9049724340438843,0.8820903301239014,1.789322853088379,0.2672731280326843,0.23802450299263,0.22248516976833344
9,,209,,,,,,,,,,0.005648283287882805,,,,,,,,,,,
,0.0007654181830570405,210,,,,,,,,,,,,,,,,,,,,,
10,,219,,,,,,,,,,,0.005301174242049456,0.03567707911133766,,,,,,,,,
10,,229,,,,,,,,,,,0.005251525901257992,0.03889887407422066,,,,,,,,,
10,,230,,,,,,,,,,,,,0.0413457453250885,0.16690385341644287,0.730789065361023,0.899157702922821,0.9130830764770508,1.461578130722046,0.4652760326862335,0.20333653688430786,0.2182743102312088
10,,230,,,,,,,,,,0.005998753942549229,,,,,,,,,,,
,0.0007582847040957653,231,,,,,,,,,,,,,,,,,,,,,
11,,239,,,,,,,,,,,0.005701174959540367,0.044646263122558594,,,,,,,,,
11,,249,,,,,,,,,,,0.0052953846752643585,0.03727109730243683,,,,,,,,,
11,,251,,,,,,,,,,,,,0.04755862057209015,0.17325706779956818,0.838840663433075,0.8731299638748169,0.8787575364112854,1.67768132686615,0.3849250376224518,0.21807938814163208,0.23678429424762726
11,,251,,,,,,,,,,0.005512377712875605,,,,,,,,,,,
,0.0007505226720175456,252,,,,,,,,,,,,,,,,,,,,,
12,,259,,,,,,,,,,,0.005764981731772423,0.03941517323255539,,,,,,,,,
12,,269,,,,,,,,,,,0.005090623162686825,0.0357201024889946,,,,,,,,,
12,,272,,,,,,,,,,,,,0.1123887449502945,0.26129040122032166,1.304328203201294,0.8312657475471497,0.8309220671653748,2.608656406402588,-0.45352211594581604,0.3352442979812622,0.3325103521347046
12,,272,,,,,,,,,,0.005375097971409559,,,,,,,,,,,
,0.0007421457040642029,273,,,,,,,,,,,,,,,,,,,,,
13,,279,,,,,,,,,,,0.005891862791031599,0.041363686323165894,,,,,,,,,
13,,289,,,,,,,,,,,0.004888896830379963,0.036098215728998184,,,,,,,,,
13,,293,,,,,,,,,,,,,0.06310331076383591,0.20065779983997345,0.9853925704956055,0.8514720797538757,0.864173412322998,1.970785140991211,0.18388576805591583,0.251203715801239,0.2781786024570465
13,,293,,,,,,,,,,0.005288382060825825,,,,,,,,,,,
,0.0007331684962840401,294,,,,,,,,,,,,,,,,,,,,,
14,,299,,,,,,,,,,,0.005285528488457203,0.03713863715529442,,,,,,,,,
14,,309,,,,,,,,,,,0.005533799063414335,0.04071936383843422,,,,,,,,,
14,,314,,,,,,,,,,,,,0.10554765164852142,0.2539132535457611,1.2664963006973267,0.8342545032501221,0.8346801996231079,2.5329926013946533,-0.36504626274108887,0.324880987405777,0.32508373260498047
14,,314,,,,,,,,,,0.005252906121313572,,,,,,,,,,,
,0.0007236067977499793,315,,,,,,,,,,,,,,,,,,,,,
15,,319,,,,,,,,,,,0.005340661853551865,0.03664504736661911,,,,,,,,,
15,,329,,,,,,,,,,,0.005575451999902725,0.04232342541217804,,,,,,,,,
15,,335,,,,,,,,,,,,,0.04027678444981575,0.16445623338222504,0.719558835029602,0.9006770253181458,0.9109693765640259,1.439117670059204,0.47910091280937195,0.20069077610969543,0.22300121188163757
15,,335,,,,,,,,,,0.005452136974781752,,,,,,,,,,,
,0.0007134773829303362,336,,,,,,,,,,,,,,,,,,,,,
16,,339,,,,,,,,,,,0.0052617816254496574,0.03941948339343071,,,,,,,,,
16,,349,,,,,,,,,,,0.004899668972939253,0.036247119307518005,,,,,,,,,
16,,356,,,,,,,,,,,,,0.03103555180132389,0.14031177759170532,0.5947824716567993,0.9211490154266357,0.9334368705749512,1.1895649433135986,0.5986176133155823,0.17616909742355347,0.19760635495185852
16,,356,,,,,,,,,,0.0052660624496638775,,,,,,,,,,,
,0.0007027980222607029,357,,,,,,,,,,,,,,,,,,,,,
17,,359,,,,,,,,,,,0.005013274494558573,0.03505844622850418,,,,,,,,,
17,,369,,,,,,,,,,,0.0047280024737119675,0.03334170952439308,,,,,,,,,
17,,377,,,,,,,,,,,,,0.09000438451766968,0.23523975908756256,1.1677587032318115,0.8461974263191223,0.843204915523529,2.335517406463623,-0.1640254557132721,0.30000731348991394,0.293837308883667
17,,377,,,,,,,,,,0.005226504523307085,,,,,,,,,,,
,0.0006915874509685649,378,,,,,,,,,,,,,,,,,,,,,
18,,379,,,,,,,,,,,0.005355984903872013,0.040784288197755814,,,,,,,,,
