epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,0.07588069140911102,0.27472609281539917,,,,,,,,,
0,,19,,,,,,,,,,,0.07671719789505005,0.27642378211021423,,,,,,,,,
0,,20,,,,,,,,,,,,,0.07724475860595703,0.24049612879753113,1.0679781436920166,0.8774080276489258,0.8757059574127197,2.135956287384033,0.0009945845231413841,0.277929425239563,0.27353233098983765
0,,20,,,,,,,,,,0.07870080322027206,,,,,,,,,,,
,0.0007996491320395434,21,,,,,,,,,,,,,,,,,,,,,
1,,29,,,,,,,,,,,0.07591994106769562,0.274891197681427,,,,,,,,,
1,,39,,,,,,,,,,,0.07386673986911774,0.27089160680770874,,,,,,,,,
1,,41,,,,,,,,,,,,,0.07466498017311096,0.23603761196136475,1.0158027410507202,0.8973104953765869,0.8902098536491394,2.0316054821014404,0.03435879945755005,0.27324894070625305,0.2621208131313324
1,,41,,,,,,,,,,0.07634372264146805,,,,,,,,,,,
,0.0007985971436998018,42,,,,,,,,,,,,,,,,,,,,,
2,,49,,,,,,,,,,,0.07687252014875412,0.27621129155158997,,,,,,,,,
2,,59,,,,,,,,,,,0.07683084160089493,0.27622562646865845,,,,,,,,,
2,,62,,,,,,,,,,,,,0.07601246237754822,0.23812708258628845,1.0412882566452026,0.8856985569000244,0.8826227188110352,2.0825765132904053,0.016931885853409767,0.2757035791873932,0.2693462669849396
2,,62,,,,,,,,,,0.07353010028600693,,,,,,,,,,,
,0.0007968458805257913,63,,,,,,,,,,,,,,,,,,,,,
3,,69,,,,,,,,,,,0.07294924557209015,0.2683909833431244,,,,,,,,,
3,,79,,,,,,,,,,,0.07173396646976471,0.26528462767601013,,,,,,,,,
3,,83,,,,,,,,,,,,,0.07112196832895279,0.23116198182106018,1.0073853731155396,0.9013071060180664,0.8874306082725525,2.014770746231079,0.0801805630326271,0.2666870355606079,0.24744732677936554
3,,83,,,,,,,,,,0.07244651764631271,,,,,,,,,,,
,0.000794398414828202,84,,,,,,,,,,,,,,,,,,,,,
4,,89,,,,,,,,,,,0.0703626349568367,0.26341235637664795,,,,,,,,,
4,,99,,,,,,,,,,,0.07766250520944595,0.27771320939064026,,,,,,,,,
4,,104,,,,,,,,,,,,,0.07772111147642136,0.24121691286563873,1.0508248805999756,0.8848785758018494,0.8834230899810791,2.101649761199951,-0.005166098941117525,0.2787850797176361,0.27483242750167847
4,,104,,,,,,,,,,0.07312513142824173,,,,,,,,,,,
,0.0007912590402935223,105,,,,,,,,,,,,,,,,,,,,,
5,,109,,,,,,,,,,,0.07479003071784973,0.272457480430603,,,,,,,,,
5,,119,,,,,,,,,,,0.07367140799760818,0.27067533135414124,,,,,,,,,
5,,125,,,,,,,,,,,,,0.07733011245727539,0.24059909582138062,1.0512101650238037,0.8840341567993164,0.8823304176330566,2.1024203300476074,-0.00010932005534414202,0.278082937002182,0.2737787663936615
5,,125,,,,,,,,,,0.07476922869682312,,,,,,,,,,,
,0.0007874332644514524,126,,,,,,,,,,,,,,,,,,,,,
6,,129,,,,,,,,,,,0.07361815869808197,0.27042537927627563,,,,,,,,,
6,,139,,,,,,,,,,,0.07254140079021454,0.26814985275268555,,,,,,,,,
6,,146,,,,,,,,,,,,,0.07707773149013519,0.24033668637275696,1.0585259199142456,0.8807440400123596,0.8790693283081055,2.117051839828491,0.0031548356637358665,0.27762874960899353,0.2735154926776886
6,,146,,,,,,,,,,0.0741761103272438,,,,,,,,,,,
,0.0007829277990128269,147,,,,,,,,,,,,,,,,,,,,,
7,,149,,,,,,,,,,,0.07434740662574768,0.2715878188610077,,,,,,,,,
7,,159,,,,,,,,,,,0.07231779396533966,0.2678892910480499,,,,,,,,,
