epoch,lr-AdamW,step,test/loss,test/mae,test/phm_paper_per_bearing,test/phm_per_bearing,test/phm_score,test/phm_score_paper,test/r2,test/rmse,test/rmse_per_bearing,train/loss_epoch,train/loss_step,train/rmse,val/loss,val/mae,val/phm_paper_per_bearing,val/phm_per_bearing,val/phm_score,val/phm_score_paper,val/r2,val/rmse,val/rmse_per_bearing
,0.0008,0,,,,,,,,,,,,,,,,,,,,,
0,,4,,,,,,,,,,,,,0.07841044664382935,0.2412905991077423,2.8969531059265137,0.872753381729126,0.872753381729126,2.8969531059265137,0.0349917896091938,0.2800186574459076,0.2800186574459076
0,,4,,,,,,,,,,0.04378232732415199,,,,,,,,,,,
,0.0007996491320395434,5,,,,,,,,,,,,,,,,,,,,,
1,,9,,,,,,,,,,,0.008895296603441238,0.08734309673309326,,,,,,,,,
1,,9,,,,,,,,,,,,,0.08745206892490387,0.2451128363609314,2.8050830364227295,0.892940104007721,0.892940104007721,2.8050830364227295,-0.07628463953733444,0.29572293162345886,0.29572293162345886
1,,9,,,,,,,,,,0.008165501058101654,,,,,,,,,,,
,0.0007985971436998018,10,,,,,,,,,,,,,,,,,,,,,
2,,14,,,,,,,,,,,,,0.1655985713005066,0.3408299386501312,3.677640199661255,0.9158603549003601,0.9158603549003601,3.677640199661255,-1.0380443334579468,0.40693801641464233,0.40693801641464233
2,,14,,,,,,,,,,0.006283787079155445,,,,,,,,,,,
,0.0007968458805257913,15,,,,,,,,,,,,,,,,,,,,,
3,,19,,,,,,,,,,,0.0077365608885884285,0.0827740952372551,,,,,,,,,
3,,19,,,,,,,,,,,,,0.16551272571086884,0.33961963653564453,3.6191012859344482,0.9308600425720215,0.9308600425720215,3.6191012859344482,-1.0369879007339478,0.4068325161933899,0.4068325161933899
3,,19,,,,,,,,,,0.008277013897895813,,,,,,,,,,,
,0.000794398414828202,20,,,,,,,,,,,,,,,,,,,,,
4,,24,,,,,,,,,,,,,0.06792791187763214,0.19045932590961456,2.339836835861206,0.9002110362052917,0.9002110362052917,2.339836835861206,0.16400176286697388,0.2606298327445984,0.2606298327445984
4,,24,,,,,,,,,,0.005852535832673311,,,,,,,,,,,
,0.0007912590402935223,25,,,,,,,,,,,,,,,,,,,,,
5,,29,,,,,,,,,,,0.008840437047183514,0.08790076524019241,,,,,,,,,
5,,29,,,,,,,,,,,,,0.08620906621217728,0.20168323814868927,2.150624990463257,0.9517247080802917,0.9517247080802917,2.150624990463257,-0.06098682060837746,0.2936137914657593,0.2936137914657593
5,,29,,,,,,,,,,0.005851550959050655,,,,,,,,,,,
,0.0007874332644514524,30,,,,,,,,,,,,,,,,,,,,,
6,,34,,,,,,,,,,,,,0.11521242558956146,0.2573874294757843,2.7310125827789307,0.9467594623565674,0.9467594623565674,2.7310125827789307,-0.41793525218963623,0.3394295573234558,0.3394295573234558
6,,34,,,,,,,,,,0.004398757591843605,,,,,,,,,,,
,0.0007829277990128269,35,,,,,,,,,,,,,,,,,,,,,
7,,39,,,,,,,,,,,0.0032920129597187042,0.05185837298631668,,,,,,,,,
7,,39,,,,,,,,,,,,,0.08681701123714447,0.2093573659658432,2.247076988220215,0.945326030254364,0.945326030254364,2.247076988220215,-0.06846896559000015,0.2946472465991974,0.2946472465991974
7,,39,,,,,,,,,,0.00412367656826973,,,,,,,,,,,
,0.0007777505480949926,40,,,,,,,,,,,,,,,,,,,,,
8,,44,,,,,,,,,,,,,0.056002043187618256,0.17323340475559235,2.0104174613952637,0.923616886138916,0.923616886138916,2.0104174613952637,0.31077510118484497,0.23664750158786774,0.23664750158786774
8,,44,,,,,,,,,,0.003659742884337902,,,,,,,,,,,
,0.0007719105943553007,45,,,,,,,,,,,,,,,,,,,,,
9,,49,,,,,,,,,,,0.002673364942893386,0.044956106692552567,,,,,,,,,
9,,49,,,,,,,,,,,,,0.0560762844979763,0.18665087223052979,2.240074872970581,0.9068830013275146,0.9068830013275146,2.240074872970581,0.3098613917827606,0.2368043214082718,0.2368043214082718
9,,49,,,,,,,,,,0.0033355026971548796,,,,,,,,,,,
,0.0007654181830570405,50,,,,,,,,,,,,,,,,,,,,,
10,,54,,,,,,,,,,,,,0.05818278342485428,0.19629377126693726,2.390610456466675,0.8988849520683289,0.8988849520683289,2.390610456466675,0.283936470746994,0.24121107161045074,0.24121107161045074
10,,54,,,,,,,,,,0.002885195892304182,,,,,,,,,,,
,0.0007582847040957653,55,,,,,,,,,,,,,,,,,,,,,
11,,59,,,,,,,,,,,0.00749599002301693,0.08086099475622177,,,,,,,,,
